1-1	Q0	44600	56	62.030106	DPR
1-1	Q0	43284	57	62.00078	DPR
1-1	Q0	11247	58	61.998055	DPR
1-1	Q0	7408	59	61.96209	DPR
1-1	Q0	9514	60	61.949764	DPR
1-1	Q0	10871	61	61.9028	DPR
1-1	Q0	3305	62	61.86253	DPR
1-1	Q0	61655	63	61.83879	DPR
1-1	Q0	7865	64	61.835144	DPR
1-1	Q0	7229	65	61.77586	DPR
1-1	Q0	5865	66	61.765656	DPR
1-1	Q0	8090	67	61.71592	DPR
1-1	Q0	10507	68	61.712967	DPR
1-1	Q0	10357	69	61.641014	DPR
1-1	Q0	11167	70	61.626392	DPR
1-1	Q0	77540	71	61.58393	DPR
1-1	Q0	10555	72	61.56628	DPR
1-1	Q0	10211	73	61.538723	DPR
1-1	Q0	6861	74	61.491505	DPR
1-1	Q0	8087	75	61.437332	DPR
1-1	Q0	43011	76	61.42515	DPR
1-1	Q0	14196	77	61.416134	DPR
1-1	Q0	44586	78	61.40039	DPR
1-1	Q0	48362	79	61.35418	DPR
1-1	Q0	49654	80	61.341278	DPR
1-1	Q0	45186	81	61.333046	DPR
1-1	Q0	3797	82	61.312	DPR
1-1	Q0	6016	83	61.30896	DPR
1-1	Q0	23977	84	61.305515	DPR
1-1	Q0	31373	85	61.29716	DPR
1-1	Q0	11710	86	61.252964	DPR
1-1	Q0	6990	87	61.23414	DPR
1-1	Q0	3175	88	61.21659	DPR
1-1	Q0	71511	89	61.13165	DPR
1-1	Q0	73666	90	61.117237	DPR
1-1	Q0	77481	91	61.03055	DPR
1-1	Q0	3805	92	61.022182	DPR
1-1	Q0	88985	93	60.98477	DPR
1-1	Q0	26199	94	60.977783	DPR
1-1	Q0	45048	95	60.96832	DPR
1-1	Q0	42911	96	60.95596	DPR
1-1	Q0	7564	97	60.951176	DPR
1-1	Q0	3264	98	60.92446	DPR
1-1	Q0	42985	99	60.884277	DPR
1-1	Q0	1712	100	60.88274	DPR
1-1	Q0	2731	1	66.29971	DPR
1-1	Q0	8468	2	66.09146	DPR
1-1	Q0	2742	3	65.430275	DPR
1-1	Q0	1670	4	64.8694	DPR
1-1	Q0	3141	5	64.81616	DPR
1-1	Q0	42899	6	64.79083	DPR
1-1	Q0	10785	7	64.75216	DPR
1-1	Q0	6805	8	64.574745	DPR
1-1	Q0	2899	9	64.45965	DPR
1-1	Q0	2983	10	64.28181	DPR
1-1	Q0	48373	11	64.23583	DPR
1-1	Q0	74867	12	64.112976	DPR
1-1	Q0	2725	13	64.096146	DPR
1-1	Q0	53689	14	64.061966	DPR
1-1	Q0	6951	15	64.05187	DPR
1-1	Q0	2878	16	63.90299	DPR
1-1	Q0	3163	17	63.810413	DPR
1-1	Q0	11528	18	63.79195	DPR
1-1	Q0	2958	19	63.626953	DPR
1-1	Q0	2890	20	63.479527	DPR
1-1	Q0	4032	21	63.403038	DPR
1-1	Q0	11482	22	63.36704	DPR
1-1	Q0	2764	23	63.346107	DPR
1-1	Q0	42955	24	63.338814	DPR
1-1	Q0	10853	25	63.327404	DPR
1-1	Q0	71945	26	63.276066	DPR
1-1	Q0	9384	27	63.230373	DPR
1-1	Q0	42961	28	63.217373	DPR
1-1	Q0	14362	29	63.13936	DPR
1-1	Q0	43086	30	63.13235	DPR
1-1	Q0	6653	31	63.130642	DPR
1-1	Q0	1948	32	63.090565	DPR
1-1	Q0	77565	33	62.989193	DPR
1-1	Q0	43282	34	62.872692	DPR
1-1	Q0	75934	35	62.706	DPR
1-1	Q0	6935	36	62.70328	DPR
1-1	Q0	3122	37	62.652534	DPR
1-1	Q0	68744	38	62.61375	DPR
1-1	Q0	10959	39	62.598045	DPR
1-1	Q0	75429	40	62.584526	DPR
1-1	Q0	45849	41	62.4812	DPR
1-1	Q0	44032	42	62.465057	DPR
1-1	Q0	31655	43	62.41482	DPR
1-1	Q0	44622	44	62.31325	DPR
1-1	Q0	2363	45	62.290592	DPR
1-1	Q0	11274	46	62.24817	DPR
1-1	Q0	42830	47	62.21702	DPR
1-1	Q0	32920	48	62.210724	DPR
1-1	Q0	42979	49	62.206684	DPR
1-1	Q0	75733	50	62.203903	DPR
1-1	Q0	49766	51	62.199024	DPR
1-1	Q0	48377	52	62.176495	DPR
1-1	Q0	10503	53	62.07593	DPR
1-1	Q0	7590	54	62.06814	DPR
1-1	Q0	53688	55	62.034634	DPR
1-2	Q0	2731	1	65.79829	DPR
1-2	Q0	48373	2	64.55214	DPR
1-2	Q0	11528	3	64.21201	DPR
1-2	Q0	2764	4	64.03045	DPR
1-2	Q0	30593	5	64.009766	DPR
1-2	Q0	10270	6	63.99868	DPR
1-2	Q0	26276	7	63.907074	DPR
1-2	Q0	49766	8	63.906624	DPR
1-2	Q0	30589	9	63.834682	DPR
1-2	Q0	8468	10	63.776325	DPR
1-2	Q0	4989	11	63.643368	DPR
1-2	Q0	2742	12	63.623222	DPR
1-2	Q0	2983	13	63.523827	DPR
1-2	Q0	3141	14	63.480732	DPR
1-2	Q0	11710	15	63.414623	DPR
1-2	Q0	44032	16	63.329533	DPR
1-2	Q0	14362	17	63.308907	DPR
1-2	Q0	26199	18	63.183796	DPR
1-2	Q0	2725	19	63.149914	DPR
1-2	Q0	48377	20	63.10248	DPR
1-2	Q0	43284	21	62.962307	DPR
1-2	Q0	14401	22	62.956463	DPR
1-2	Q0	26266	23	62.92929	DPR
1-2	Q0	3163	24	62.90162	DPR
1-2	Q0	42899	25	62.884495	DPR
1-2	Q0	6467	26	62.8704	DPR
1-2	Q0	2878	27	62.866352	DPR
1-2	Q0	2899	28	62.845146	DPR
1-2	Q0	2958	29	62.828358	DPR
1-2	Q0	3797	30	62.814793	DPR
